gauge_id,Latitude,Longitude,HUC8,Valid_tSNE_DBSCAN,farmN_ave,nonfN_ave,Avg_no3_nadp,sgr_dk_sav,glc_pc_s06,glc_pc_s07,nli_ix_sav,glc_pc_s04,glc_pc_s05,glc_pc_s02,glc_pc_s03,glc_pc_s01,pet_mm_syr,glc_pc_s08,glc_pc_s09,swc_pc_s09,ele_mt_smx,tbi_cl_smj,swc_pc_s01,swc_pc_s02,swc_pc_s03,swc_pc_s04,swc_pc_s05,swc_pc_s06,swc_pc_s07,swc_pc_s08,crp_pc_sse,glc_pc_s22,glc_pc_s20,glc_pc_s21,wet_pc_sg1,wet_pc_sg2,pac_pc_sse,swc_pc_s10,swc_pc_s11,swc_pc_s12,clz_cl_smj,gwt_cm_sav,glc_pc_s17,glc_pc_s18,hft_ix_s93,glc_pc_s15,ire_pc_sse,glc_pc_s16,glc_pc_s13,prm_pc_sse,glc_pc_s14,glc_pc_s11,glc_pc_s12,glc_pc_s10,kar_pc_sse,slp_dg_sav,glc_pc_s19,tmp_dc_s07,tmp_dc_s08,tmp_dc_s05,tmp_dc_s06,tmp_dc_s09,for_pc_sse,aet_mm_s06,aet_mm_s05,aet_mm_s08,aet_mm_s07,aet_mm_s09,tmp_dc_s10,tmp_dc_s11,aet_mm_s02,aet_mm_s01,tmp_dc_s12,aet_mm_s04,aet_mm_s03,lit_cl_smj,tmp_dc_s03,tmp_dc_s04,tmp_dc_s01,tmp_dc_s02,cls_cl_smj,pre_mm_syr,pnv_pc_s01,pnv_pc_s04,pnv_pc_s05,pnv_pc_s02,rdd_mk_sav,ele_mt_smn,pnv_pc_s03,pnv_pc_s08,pnv_pc_s09,pnv_pc_s06,pnv_pc_s07,wet_cl_smj,snw_pc_syr,pnv_pc_s11,pnv_pc_s12,pnv_pc_s10,pnv_pc_s15,pnv_pc_s13,pnv_pc_s14,cmi_ix_syr,pet_mm_s11,pet_mm_s12,pet_mm_s10,tmp_dc_smn,wet_pc_s08,wet_pc_s09,slt_pc_sav,wet_pc_s02,wet_pc_s03,wet_pc_s01,hdi_ix_sav,wet_pc_s06,wet_pc_s07,wet_pc_s04,wet_pc_s05,fec_cl_smj,glc_cl_smj,swc_pc_syr,hft_ix_s09,soc_th_sav,gdp_ud_sav,gdp_ud_ssu,tmp_dc_smx,cly_pc_sav,pet_mm_s02,pet_mm_s03,pet_mm_s01,snw_pc_smx,ppd_pk_sav,pet_mm_s08,aet_mm_s11,pet_mm_s09,aet_mm_s10,pet_mm_s06,pet_mm_s07,aet_mm_s12,pet_mm_s04,pet_mm_s05,inu_pc_slt,ero_kh_sav,aet_mm_syr,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,ari_ix_sav,tmp_dc_syr,tec_cl_smj,fmh_cl_smj,inu_pc_smn,pnv_cl_smj,pre_mm_s08,pre_mm_s09,run_mm_syr,pre_mm_s06,pre_mm_s07,pre_mm_s04,pre_mm_s05,snd_pc_sav,pre_mm_s02,pre_mm_s03,ele_mt_sav,pre_mm_s01,urb_pc_sse,lka_pc_sse,pre_mm_s10,snw_pc_s01,snw_pc_s02,snw_pc_s03,snw_pc_s04,snw_pc_s05,snw_pc_s06,gla_pc_sse,snw_pc_s07,snw_pc_s08,snw_pc_s09,inu_pc_smx,pre_mm_s11,pre_mm_s12,cmi_ix_s07,cmi_ix_s08,cmi_ix_s05,cmi_ix_s06,cmi_ix_s09,snw_pc_s10,snw_pc_s11,snw_pc_s12,cmi_ix_s03,cmi_ix_s04,cmi_ix_s01,cmi_ix_s02,pst_pc_sse,dis_m3_pmn,dis_m3_pmx,dis_m3_pyr,lkv_mc_usu,rev_mc_usu,ria_ha_usu,riv_tc_usu,pop_ct_usu,dor_pc_pva,area,area_fraction_used_for_aggregation
Caravan,41.4367092,-85.910447,3170009,1,1201519.625,159429.3945,8.145721753,6.727677696,0,0,1318.106733,32.78140186,0,0,0,0,1336.549175,0,0,83.6218341,8.846091283,4,100,100,100,96.72223795,89.2665775,80.2665775,77.2665775,79.07749455,2.900136348,1.822641795,34.76129112,0,11.03571442,10.48019032,15.94811571,83.16617365,84.89959615,94.81091705,14,7.734502887,0,0,125.8306211,0,0,0,30.63466522,0,0,0,0,0,0,1.822641795,0,273.6330187,272.6330187,234.9107807,264.6330187,254.1773582,32.78140186,128.8226418,135.0117247,124.1778984,128.9113209,106.2665775,203.9994598,156.2772219,65.466845,56.01118455,120.8215614,120.1115884,99.65592795,1,155.9219653,197.9107807,105.4551203,122.3664412,93,1548.067931,0,100,0,0,2091.980778,-1.01118455,0,0,0,0,0,11,0.266577501,0,0,0,0,0,0,13.533155,69.18908295,55.7334225,103.3669813,105.4551203,0,0,27.66765269,0,0,0.555524101,794.0886791,0,0,0,0,149,20,89.2665775,115.3504308,285.9158349,44709.9701,340177894.3,273.6330187,18.91024051,65.466845,99.65592795,56.01118455,1.98881545,52.39047143,155.2894868,59.0886791,126.1004038,85.533155,161.5672488,166.5672488,54.36644115,124.3893504,153.0229093,75.47427418,582.0173653,1162.957139,-27.46738519,36.8221016,57.2665775,115.7997325,196.9107807,337,7,48.60794859,4,158.1661737,148.8772271,657.4963602,116.5448797,159.3664412,118.1784386,122.1890829,53.4221068,132.6559279,135.9118611,3.011724744,140.7227781,5.923585835,24.40927568,74.72169776,1.98881545,0.266577501,0,0,0,0,0,0.455660449,0.266577501,0,65.02871789,109.4780295,130.7334225,-4.289486794,1.521430257,-19.92250545,-27.5555241,15.1549891,0,0,1.266577501,26.6223743,-4.933149804,60.1778984,50.72223795,2.277762051,5.783,13.635,8.823,14,0,24.149,36.011,15.326,0,15.39725712,0.998901436
Caravan,40.8435642,-85.081459,4050001,1,5808890.491,174216.9984,10.60982693,8.18549957,3.781634029,0,1571.171196,1.005050552,0,0.335016851,0,0,1004.533331,0,0,62.66498315,283.0831396,4,97.1847206,100,100,98.66498315,91.8152794,80.8152794,70.48026255,63,67.06694079,0,3.360414,0,38.33501685,37.66498315,1.675084253,67.3299663,77.3299663,89.3299663,10,25.60067421,0,0,166.4250696,0,7.133720736,90.41496149,0,0,0,0.622660532,0,0,1.005050552,4.673660393,0,223.5146869,211.0358482,151.17967,202.8511276,173.8511276,5.121701432,127.8167033,123.4816864,91.8152794,116.4802626,66.14382184,109.3708651,44.18614446,22,14.1847206,-23.4853131,88.66498315,50,3,23.85112761,89.18614446,-52.4853131,-34.96415179,62,973.3255606,0,6.513970528,0,0,422.8831913,247.1116003,0,88.86801452,4.618014948,0,0,11,13.84970375,0,0,0,0,0,0,-3.335016851,29.33644071,16,63.8152794,-52.4853131,0,0,45.33644071,0,0,0.335016851,921,0,0,0,0,148,16,83.48026255,148.9314754,22.34149126,44575,291509927.6,223.5146869,20.47378814,22,50,15,64.80233058,41.18683395,146.3364407,22.33644071,104.8152794,43.48026255,161.5211613,169.0014239,14,90,136.666407,20.75742984,5577.640146,780.7406012,19.17461949,62.1847206,76.0394749,96.66498315,93.03584821,342,7,0.335016851,8,91.14382184,90.6599326,356.5076658,107.4816864,97.52116131,97.51611076,97.37193896,34.00505055,46.1847206,73.1093975,262.1698536,48.74030625,1.145245701,14.74074143,79.32633961,62.36439064,62.80233058,3.027949933,0,0,0,0,0,0,0,6.705444011,77.85617816,66.75040736,-42.47883869,-37.85617816,-28.58858614,-33.51973745,-13.67650811,0.960525103,1.184720598,34.02005166,31.6305588,7.179670046,69.03442435,52.1847206,4.445838206,0.971,3.138,1.602,0,0,16.104,38.448,3.758,0,10.8613643,0.736396253
Caravan,41.9719339,-78.6384503,4100004,1,5882505.744,127199.1893,10.71759561,9.239762814,0,0,4408.629568,0.619881407,0,0,0,0,1027.801186,0,0,58,273.900593,4,91.23976281,97.61988141,100,98,90,78,67.38011859,60.38011859,49.70770855,32.23383316,3.099407035,0,0,0,0,60,68.61988141,81.23976281,10,36.9765608,0,0,301.3564,0,0,64.0468784,0,0,0,0,0,0,85.55549346,6.719288442,0,228.7602372,216.3801186,155.1403558,208.7602372,178.1403558,0.619881407,124,122,89.38011859,113.3801186,63,113.1403558,48.14035578,22.38011859,14.38011859,-16.85964422,89.76023719,51.76023719,3,28.52047437,94.14035578,-46.23976281,-29.85964422,62,924.1403558,0,41.53205427,54.08782714,0,3842.289559,198.0293688,0,4.380118593,0,0,0,13,10.14035578,0,0,0,0,0,0,-10,30.76023719,17.38011859,66.38011859,-46.23976281,0,0,47.28071156,0,0,0,921,0,0,0,0,116,22,79,297.7949769,24,44575,2349958068,228.7602372,24.14035578,23.38011859,51.76023719,16.38011859,53.42106734,455.4202013,149.3801186,21,108.3801186,40,162.6198814,171.6198814,13.38011859,92.38011859,138,53.08189749,4435.743224,765.6608302,-1.280711558,58.85964422,74.85964422,90,98.14035578,342,1,11.95905126,4,85.38011859,75.61988141,337.1813045,97.76023719,97,90.76023719,94.85964422,28.57893266,47.76023719,73.14035578,248.3216603,51.38011859,37.81276582,3.239762814,65.23976281,45.28071156,52.80118593,2.520474372,0,0,0,0,0,0,0,30.71928844,75.61988141,69.23976281,-43.61988141,-43,-31.38011859,-39.61988141,-29.76023719,0,1.239762814,16.7017789,29.38011859,-1.619881407,67.61988141,51,2,10.619,61.396,22.492,2,0,497.198,3275.644,176.383,0,6.867579959,0.656779471
Caravan,42.1718728,-79.2034626,5010001,1,1184533.969,117241.7176,10.77207026,79.87687894,0.042177797,0,1052.846295,0.040703633,0,97.5512687,0,0,931.2506452,0,0,71.80175482,703.929072,4,99.99925912,100,100,98.48569486,92.34833201,83.87279055,76.232879,70.23020173,6.766384168,0.632323009,0.164669503,0,3.69584893,2.388175646,0.901373638,78.96813641,90.17221997,98.64124786,7,412.3133922,0,0,96.39663834,0,0.000749594,1.534902165,0,0,0,0,0,0,0,75.97403415,0,187.6626504,178.8668417,118.3989545,164.9432608,142.0455422,97.64494641,125.8593269,117.7224272,96.0291003,120.3456439,68.13703087,84.61750754,28.27656748,19.88573547,13.94178377,-35.2247208,80.21550742,45.01342804,3,-3.448211765,59.87321707,-64.6079622,-56.15032314,48,1100.987269,0,0,100,0,279.194881,429.7518741,0,0,0,0,0,13,12.36047006,0,0,0,0,0,0,15.09473404,26.44462976,14.59859756,57.47664601,-64.6079622,0,0,41.00240051,1.236343157,0,0.057586949,946.6968218,0,0,0,0,150,2,88.42609623,103.9676079,58.16597121,57494.08956,167295172.2,187.6626504,18.15997137,19.88573547,45.01342804,13.94178377,62.58455154,21.69868025,137.2411479,23.95072877,94.36994101,45.32062676,151.3311085,160.2632747,14.47904798,81.681589,129.0859519,5.868929607,835.9226663,770.7914003,34.9184467,72.96526464,83.23191596,118.3966103,67.17061966,328,6,3.260339155,5,101.0879138,105.4419488,583.5396383,122.337437,105.1639109,86.38476665,96.49112416,41.03741289,62.98084786,78.41800518,571.2239725,66.80320057,0.768615237,7.167027695,88.83322455,27.51338046,61.41399442,15.26426174,0.571048279,0.392193465,0.120339671,0,0.082572068,0.127746857,0.751050195,4.907399581,98.62701777,88.34112855,-34.34129533,-26.21715136,-25.22203106,-19.07103418,10.17875529,3.825564361,4.759440036,32.67837217,42.15593614,5.075831488,78.8615662,68.36170954,2.719519685,38.34,718.657,161.509,1814,1768,3385.658,41735.622,241.072,380,6701.320467,0.999384619
Caravan,41.5346531,-79.5085931,5010002,1,1343159.833,138531.1508,10.86473896,61.34965439,0.234350854,0,1498.516175,0.173040558,0,94.07974628,0,0,912.8748524,0,0,74.59652544,623.7958422,4,100,100,100,99.28101911,93.80180362,84.28715283,75.91504954,71.20741373,18.87808713,1.325642838,1.668133709,0,4.373995998,2.419520114,0,83.6529313,94.17778566,99.99857722,7,289.2610707,0,0,106.5557229,0,0,2.389695606,0,0,0,0,0,0,0,34.96081571,0,197.9695833,188.714988,125.1440013,174.6010026,151.744948,94.48526857,124.0534669,116.7959358,95.11775,117.715887,69.58857587,93.20785996,36.14274227,19.48360625,14.13733556,-25.32606258,78.96382124,43.78147726,3,0.418620798,63.42307955,-56.20677852,-50.06822559,48,1164.300463,0,0,100,0,473.6869684,382.9106409,0,0,0,0,0,13,17.48982386,0,0,0,0,0,0,21.6115157,26.09543021,14.4310042,56.2192659,-56.20677852,0,0,42.22120177,0,0,1.954475884,950.6196856,0,0,0,0,150,2,89.8754348,121.5698411,47.62880332,62157.50265,369270451.3,197.9695833,18.07577154,19.48360625,43.78147726,14.13733556,90.88278625,46.19221687,133.8608371,25.38252284,92.74195259,47.02716629,148.9680797,157.4136908,14.4310042,79.63547061,125.9926144,19.21543639,1082.072665,766.8164599,43.47542708,76.886928,85.50943595,127.7096761,74.89833017,342,6,11.29260476,5,109.7183716,113.1751069,449.1879308,112.832102,103.2100091,92.73141098,93.78473,39.80571439,67.14024713,81.9780503,472.3814243,74.93278666,1.499119503,27.00346136,99.461928,37.94154264,90.78147664,32.06326963,1.572444736,0.457680554,0.061468414,0,0,0.077801077,0.331706118,17.98545486,113.6318093,101.5713695,-34.38344431,-17.92772331,-25.38918531,-24.13037657,17.98616943,2.906486952,6.056530659,37.59263934,46.50796393,13.95398236,81.2265424,70.82075876,6.929143317,12.115,128.916,34.233,160,144,652.292,4813.344,99.566,134,2325.338159,0.99809715
Caravan,41.7708056,-79.9685576,5010003,1,1108457.635,129737.9168,10.79274856,78.54521648,0.167669257,0,973.0401272,0.030707429,0,97.84559225,0,0,979.9628962,0,0,71.02244551,555.0432476,4,100,100,100,98.56457543,92.16158241,83.0374015,75.192269,69.89129866,5.91151547,0.562789399,0.001426715,0,1.769520495,1.027907021,2.85727716,77.15303084,88.88137434,98.3534673,7,348.9109691,0,0,95.9111968,0,0.000394622,1.356782211,0,0,0,0,0,0,19.75381772,52.38520904,0,198.685768,189.9723776,128.997806,175.654608,153.514538,98.0231907,128.9015156,122.63774,99.49072114,123.2703471,70.92445523,93.77841813,37.79185726,21.82737343,15.40759207,-24.74916938,85.58558464,49.18294534,3,8.599876493,69.8084455,-54.89335531,-45.51636499,48,1132.315134,0,0,100,0,283.5777625,344.0842435,0,0,0,0,0,13,13.09642539,0,0,0,0,0,0,13.34546859,28.78691102,16.17241577,61.05497522,-54.89335531,0,0,41.97940208,0.005274948,0,0.700563471,943,0,0,0,0,150,2,87.92841982,99.92369034,47.72503729,53263,124982118.7,198.685768,18.52125926,21.82737343,49.18294534,15.40759207,59.82462297,19.17453367,142.6452775,25.50407312,99.29544975,47.01840958,157.3006199,166.1462137,16.11007593,87.10081394,134.9715612,8.627594622,602.9141479,805.7567184,29.6698055,71.14308938,81.56495391,115.5880927,77.6992825,328,6,4.660440319,5,106.1998669,103.6426907,594.2597261,119.638377,113.9291726,92.1984253,102.1516515,39.73752164,64.16116114,85.85194385,473.1266015,69.4644634,0.505782785,2.661070034,87.06289996,37.01299922,55.59342298,12.55653011,0.634951045,0.099150819,0.08608115,0,0.050832971,0.229063642,0.502397971,7.223607924,100.1431528,88.06114585,-31.45396702,-25.39069487,-24.11001555,-23.98964335,4.074724084,3.402099125,4.109866842,41.60647428,42.58833898,5.398454558,77.49021381,65.88031238,1.439146357,111.732,1563.345,375.595,2185,1977,8769.185,146408.459,500.97,250,4355.75431,0.999316138
Caravan,41.3701373,-79.011331,5010004,1,1419980.957,151972.6305,10.84739742,45.07090582,0.527762384,0,1491.382457,0.178845124,0,94.29388143,0,0,945.0976041,0,0,72.38009672,510.7615291,4,100,100,100,98.77267782,92.81893487,83.44664589,75.39845824,70.52814383,19.18765736,0.602248092,0.155714992,0,2.068428108,1.736286961,1.293751413,79.69646389,91.20458712,99.27391783,10,255.55742,0,0,122.2995937,0,0.124384156,4.230114892,0,0,0,0,0,0,5.807360468,28.09028997,0,202.6354297,194.4061056,130.2521065,179.313052,158.0212526,95.07544071,125.0100408,118.2038005,97.00557465,119.5535781,70.30963309,98.70067615,42.05142043,21.03308249,15.16536097,-20.02578871,81.98647959,46.93005647,3,9.523959367,70.25058502,-51.64438749,-43.98027281,55,1128.990942,0,0,99.89533693,0,414.2884495,346.8593178,0,0.104663072,0,0,0,13,14.86600188,0,0,0,0,0,0,16.07586052,27.86588191,15.9001757,58.94918952,-51.64438749,0,0,41.80842819,0,0,0.331364325,943.7425921,0,0,0,0,150,2,88.64106437,139.5915582,44.95415275,54129.25471,277878545.9,202.6354297,17.91643735,21.03308249,46.93005647,15.16536097,78.6925847,36.7624682,137.8533859,25.6526646,96.70066914,46.91563455,151.6521946,160.83168,15.9001757,83.27419921,128.8751646,20.38407443,1143.960436,783.5103678,36.01320997,73.16268622,82.63764491,119.7447779,80.90896099,342,6,3.586774224,5,107.3948505,106.1581255,512.0656317,113.7258842,108.2658326,90.52019202,97.20065086,40.3439682,64.40734089,82.94824825,424.2240089,68.81076818,1.158424477,5.87140384,92.80331248,33.66067267,78.07723143,22.61114908,1.5888521,0.167545561,0,0,0,0.107917501,0.431681337,11.88172256,104.462678,92.06355796,-32.75492294,-22.02247074,-24.49001531,-24.87010276,8.689199904,2.757582423,3.928916376,33.98300015,43.3909186,7.864203047,77.8258161,67.20542128,4.060459562,22.732,170.034,52.685,79,0,929.028,7875.075,112.577,0,3197.909725,0.998527422
Caravan,40.9474781,-79.1991458,5010005,1,942487.3924,112457.0918,10.7303379,79.87937048,1.217892211,0,1101.336778,0.284185328,0,90.83860768,0,0,974.3464615,0,0,71.01058147,613.7472238,4,100,100,100,98.23032476,92.16413417,83.54318828,76.03483383,70.59565388,6.536437006,0.213249707,0,0,2.237934786,2.015976338,1.715924596,76.60976868,87.98192517,97.73769024,7,315.2653621,0,0,100.0498754,0,0,7.559973595,0,0,0,0,0,0,41.53203273,50.77569148,0,194.7287393,186.0637688,126.6681441,171.8391183,148.8833561,92.22477831,129.0954949,122.7320753,99.12349464,123.1980387,70.35295143,89.82002714,34.12940434,21.7707026,15.35591518,-27.76731508,85.47537661,49.38308858,3,7.384379681,68.53413267,-57.08129856,-47.25311666,48,1130.364756,0,0,100,0,301.8088793,387.8411759,0,0,0,0,0,13,11.93654279,0,0,0,0,0,0,13.80956839,28.68947279,16.30226352,60.7410861,-57.08129856,0,0,40.37535991,0.000384195,0.000938856,0.220635397,943,0,0,0,0,150,2,87.79617312,102.1819189,48.16752716,53263,187718361.2,194.7287393,18.95958152,21.7707026,49.38308858,15.35591518,57.61687989,20.69140754,141.2242526,24.90923342,98.55782838,46.47096402,156.0039973,164.3065674,16.18698727,87.29564221,134.9481094,0.655863933,1142.628507,804.2554316,26.77256276,70.07748936,81.48718872,116.0680458,74.73927833,328,6,0.313991041,5,104.1340723,101.2482248,648.1346494,121.9823716,113.8902036,91.16763341,104.9383316,41.06291143,66.60028291,89.05903841,512.6912231,71.67199561,0.514631196,1.604045725,82.9618279,29.02577242,56.66445649,12.57262603,0.538583898,0.095862971,0.341005325,0,0,0.289915858,0.441185319,0.320551255,95.62252797,87.3472367,-30.73960787,-26.22097135,-22.20239559,-21.77986148,2.420345995,3.576254161,4.446073924,33.70731641,44.64211943,4.290801381,78.56297133,67.18450502,1.534779901,111.732,1563.345,375.595,2185,1977,8769.185,146408.459,500.97,250,3229.513225,0.998054588
Caravan,40.3598929,-78.963424,5010006,1,841971.8218,113528.6099,10.64357534,60.50502188,1.908504062,0,1386.34211,0.131649708,0,82.60515631,0,0,1000.11576,0,0,68.99194806,542.332738,4,99.8327666,100,100,97.58149623,91.08834364,82.1427027,74.30038102,68.98526723,17.57594086,0.299834693,0,0,0.993790108,0,0.001306794,73.53524367,83.59206799,95.06779102,10,258.2007629,0,0,135.9287711,0,0.097182844,14.96191475,0,0,0,0,0,0,57.96254429,58.93565206,0,204.6948783,196.4393757,135.866336,181.5554557,158.86474,84.67525553,127.6221868,122.6825127,98.25761117,121.3469783,70.24983117,97.79266134,42.55194242,23.83595738,16.85813253,-18.53603926,88.57701787,52.96175115,3,18.99458083,77.78185627,-48.71149349,-37.62762487,55,1107.996605,0,0,100,0,404.1128567,323.3360674,0,0,0,0,0,13,8.907979898,0,0,0,0,0,0,9.604437926,30.91090238,17.84080203,63.29593315,-48.71149349,0,0,39.37297293,0,0.676335309,0.299167579,943,0,0,0,0,150,2,86.30275307,133.2815578,34.12260015,53263,233308219.1,204.6948783,18.49076864,23.83595738,52.96175115,16.85842027,52.40380188,33.34538203,143.0526837,25.51466237,101.2494296,46.46576429,157.5686309,165.5250192,17.09185195,91.00189394,136.149266,2.132596921,2602.513589,811.5296215,18.52095943,65.83425052,78.89487016,110.9945239,84.22006981,329,6,0.929437721,5,102.3488407,97.56841051,638.6904588,115.8610743,113.5281693,90.13542149,105.5615513,42.09462424,67.49297274,91.2085961,433.6470207,71.39452683,0.778625669,1.867212587,77.7333905,18.93501909,51.67020033,7.65585595,0.16032277,0.290767829,0.027853876,0,0.014665272,0.069655464,0.414216236,1.224918119,90.64514621,84.72057898,-31.40775463,-28.41534309,-22.48687601,-26.34914364,-3.538665592,2.842826564,3.072247872,21.88030694,41.5872632,-0.764270479,76.21848851,64.64750519,2.705215533,190.491,2185.595,558.673,2732,2409,13493.044,244949.68,966.143,238,4355.532504,0.99862481
Caravan,40.3894641,-79.4030584,5010007,1,755025.0913,100904.5046,10.45364323,91.02524133,2.569868747,0,2018.142232,0.157032058,0,76.2120737,0,0,997.8125104,0,0,68.58281605,774.4199988,4,99.86662592,99.99920246,100,98.31210781,92.75517992,83.31839227,74.88543019,69.40253892,15.04754598,1.536444652,0.10609249,0,4.279127654,3.876450113,1.800791811,72.78787604,82.75492395,94.60436655,10,289.6144678,0,0,172.6686407,0,0.137807224,19.58871325,0.00036146,0,0.00036146,0,0,0,6.199236594,54.23167497,0,202.862771,194.8271913,135.5126949,180.3279767,158.4008633,78.71419833,127.226242,122.5992459,98.28483538,120.8034209,70.13878178,97.14817914,42.58662414,24.65183057,17.72844722,-17.91768338,89.07913615,53.60753241,3,21.24870848,79.26688277,-44.96827396,-33.45579686,55,1126.47057,0,0,100,0,739.0600757,394.4053311,0,0,0,0,0,13,9.135922298,0,0,0,0,0,0,11.40535562,31.99244096,18.73310456,63.87177748,-44.96827396,0,0,40.15542675,0,0,0.402677541,943,0,0,0,0,150,2,86.61426855,175.5918115,44.31306094,53263,470989377.5,202.862771,18.95766275,24.65183057,53.60753241,17.73307647,47.95879553,64.7243618,142.4467385,26.15075955,101.9514719,46.50150031,155.2437122,163.2647376,17.80976441,90.81298661,133.7090694,0.391804994,2127.093219,814.5243747,16.88291492,64.80543296,77.81039034,113.1193804,84.6312207,329,6,0.084875124,5,98.00081425,95.4585159,590.3105736,108.88419,115.2905869,95.66245673,108.3666156,40.92197859,75.97595898,96.47769464,560.3059115,79.5016018,2.552584377,4.752637147,77.00768648,21.19099233,47.46349812,9.059256068,0.438413473,0.437692571,0.100643789,0,0,0,0.02390193,0.171583093,91.28544934,84.55462194,-29.33121786,-31.00852954,-18.81557156,-29.80813374,-6.340152675,2.246932894,3.583403181,24.5730666,44.23927597,5.160862579,77.55488587,67.52647862,2.673191709,32.282,279.785,81.145,255,172,1451.507,12851.704,279.78,82,3551.062049,0.999163713
